planner_type,success,time_sec,iterations,nodes,classical_calls,classical_successful_extensions,invalid_random_targets,empty_candidate_sets,goal_sample_hits,duplicate_rejections,invalid_chosen_state_rejections,invalid_chosen_edge_rejections,candidate_count_total,candidate_count_nonempty_iters,avg_candidate_count,selected_score_total,avg_selected_score,initial_score_total,marked_set_size_total,improvement_rounds_total,classical_improvements,path_waypoints,bins_per_joint,total_grid_states,q_start,q_goal,start_idx_raw,goal_idx_raw,start_idx,goal_idx,seed,max_iters,goal_sample_rate,goal_radius_idx,candidate_count,target_weight,goal_weight,best_rounds,score_margin
crrt_matched_score,True,7.882336322916672,50,37,35,35,15,0,6,0,0,0,2182,35,62.34285714285714,33.628139191074766,0.9608039768878505,-9.422820599521447,1716,88,33,13,"[10, 10, 10, 10, 10, 10]",1000000,"0.000000,3.142000,3.142000,0.000000,0.000000,0.000000","-1.431000,4.189000,5.009000,2.251000,-2.461000,-1.536000","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)",1,2000,0.1,0.0,64,1.0,1.0,3,0.0
crrt_matched_score,True,8.722836510976776,64,48,46,46,18,0,5,0,0,0,2894,46,62.91304347826087,47.99650834892171,1.0434023554113414,-10.085416490460565,2300,116,45,10,"[10, 10, 10, 10, 10, 10]",1000000,"0.000000,3.142000,3.142000,0.000000,0.000000,0.000000","-1.431000,4.189000,5.009000,2.251000,-2.461000,-1.536000","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)",2,2000,0.1,0.0,64,1.0,1.0,3,0.0
crrt_matched_score,True,4.6204251521267,27,23,21,21,6,0,6,0,0,0,1268,21,60.38095238095238,21.387531493519482,1.0184538806437848,-10.862787797978493,1047,50,20,12,"[10, 10, 10, 10, 10, 10]",1000000,"0.000000,3.142000,3.142000,0.000000,0.000000,0.000000","-1.431000,4.189000,5.009000,2.251000,-2.461000,-1.536000","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)",3,2000,0.1,0.0,64,1.0,1.0,3,0.0
crrt_matched_score,True,9.636927700135857,66,53,51,51,15,0,5,0,0,0,3145,51,61.666666666666664,49.11229763871612,0.96298622821012,-8.581259404249714,2487,127,50,11,"[10, 10, 10, 10, 10, 10]",1000000,"0.000000,3.142000,3.142000,0.000000,0.000000,0.000000","-1.431000,4.189000,5.009000,2.251000,-2.461000,-1.536000","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)",4,2000,0.1,0.0,64,1.0,1.0,3,0.0
crrt_matched_score,True,201.39249887899496,1965,1220,1218,1218,558,189,202,0,0,0,75121,1218,61.67569786535304,791.4917901170415,0.6498290559253215,-458.82231657834825,60423,3177,1189,13,"[10, 10, 10, 10, 10, 10]",1000000,"0.000000,3.142000,3.142000,0.000000,0.000000,0.000000","-1.431000,4.189000,5.009000,2.251000,-2.461000,-1.536000","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)",5,2000,0.1,0.0,64,1.0,1.0,3,0.0
crrt_matched_score,True,8.294696638127789,56,38,36,36,20,0,6,0,0,0,2283,36,63.416666666666664,39.19301782658003,1.0886949396272232,-5.510891398860951,1408,90,35,11,"[10, 10, 10, 10, 10, 10]",1000000,"0.000000,3.142000,3.142000,0.000000,0.000000,0.000000","-1.431000,4.189000,5.009000,2.251000,-2.461000,-1.536000","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)",6,2000,0.1,0.0,64,1.0,1.0,3,0.0
crrt_matched_score,True,7.984894539928064,54,41,39,39,15,0,7,0,0,0,2459,39,63.05128205128205,39.10244126511461,1.0026266991055028,-10.717784058685806,1826,99,39,12,"[10, 10, 10, 10, 10, 10]",1000000,"0.000000,3.142000,3.142000,0.000000,0.000000,0.000000","-1.431000,4.189000,5.009000,2.251000,-2.461000,-1.536000","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)",7,2000,0.1,0.0,64,1.0,1.0,3,0.0
crrt_matched_score,True,8.578320413827896,61,45,43,43,18,0,7,0,0,0,2573,43,59.83720930232558,38.24719260539334,0.8894695954742636,-13.867076910242492,2054,104,38,12,"[10, 10, 10, 10, 10, 10]",1000000,"0.000000,3.142000,3.142000,0.000000,0.000000,0.000000","-1.431000,4.189000,5.009000,2.251000,-2.461000,-1.536000","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)",8,2000,0.1,0.0,64,1.0,1.0,3,0.0
crrt_matched_score,True,8.75780556583777,77,53,51,51,26,0,15,0,0,0,2888,51,56.627450980392155,31.867790356296762,0.6248586344371914,-32.44828039971094,1860,117,50,13,"[10, 10, 10, 10, 10, 10]",1000000,"0.000000,3.142000,3.142000,0.000000,0.000000,0.000000","-1.431000,4.189000,5.009000,2.251000,-2.461000,-1.536000","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)",9,2000,0.1,0.0,64,1.0,1.0,3,0.0
crrt_matched_score,True,19.56605080096051,158,118,116,116,42,0,13,0,0,0,6736,116,58.06896551724138,84.67146772979517,0.72992644594651,-51.162568092028614,5917,292,114,12,"[10, 10, 10, 10, 10, 10]",1000000,"0.000000,3.142000,3.142000,0.000000,0.000000,0.000000","-1.431000,4.189000,5.009000,2.251000,-2.461000,-1.536000","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)",10,2000,0.1,0.0,64,1.0,1.0,3,0.0
